,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
530,530,audio_530.wav,0.575997531414032,0.4477725923061371,0.7224815487861633,0.2282882779836654,0.1464840173721313,-0.2194843143224716,0.8680205,0.4194678,0.58852637,0.7701923,0.13223422,0.15690215,0.80643874,0.45557755,0.54163605,0.2750449,-1,7.252241,5.7701287,#b7467f,1.5012755,-0.5806899,#2ea17f,7.855622,11.854894,#df847f,9.6241865,10.970531,#c6557f,7.435326,9.786186,#c5517f
531,531,audio_531.wav,0.575997531414032,0.4477725923061371,0.7468134164810181,0.2262401282787323,0.170815885066986,-0.2215324640274047,0.84768367,0.3504398,0.79007035,0.8443988,0.8383449,0.17564553,0.7706651,0.43247014,0.75207967,0.6603706,-1,7.11731,4.9276514,#b41f7f,1.236896,0.41917613,#26c67f,8.531721,11.201755,#f8707f,10.067873,10.05846,#d2307f,7.627641,8.86884,#ca2c7f
532,532,audio_532.wav,0.575997531414032,0.4477725923061371,0.7111992835998535,0.2305127531290054,0.1352017521858215,-0.2172598391771316,0.42494768,0.2348327,0.056972504,0.40394598,0.16252387,0.18057773,0.7976391,0.46852237,0.47641766,0.22077194,-1,4.532589,9.669114,#77f67f,5.272225,-2.948024,#9a4a7f,3.733319,12.754921,#449e7f,6.2351623,13.707971,#6ac47f,4.2490864,12.742702,#73ca7f
533,533,audio_533.wav,0.575997531414032,0.4477725923061371,0.7424578666687012,0.1560834199190139,0.1664603352546692,-0.2916891723871231,0.85366106,0.5033006,0.19022387,0.67680067,0.21496332,0.16981372,0.7905141,0.45608416,0.64346635,0.4157426,-1,7.383374,6.085472,#ba547f,1.4461383,-0.87016994,#2c967f,7.8692737,12.064122,#df8a7f,9.747867,11.197259,#c95e7f,7.6197095,9.963775,#ca597f
534,534,audio_534.wav,0.575997531414032,0.4477725923061371,0.7191440463066101,0.2297807782888412,0.1431465148925781,-0.2179918140172958,0.10048425,0.7491792,0.84968394,0.69995284,0.24843544,0.1692594,0.8006415,0.46366772,0.5167752,0.25697795,-1,6.771773,5.385512,#ac347f,1.6673034,0.041650668,#33b87f,7.9385552,11.166742,#e26f7f,9.478883,10.342539,#c23c7f,7.2210717,9.18808,#c0397f
535,535,audio_535.wav,0.575997531414032,0.4477725923061371,0.7474802732467651,0.226020410656929,0.1714827418327331,-0.221752181649208,0.5436819,0.5146682,0.90709805,0.7801699,0.7297215,0.19100836,0.76995504,0.4464443,0.75053203,0.64706135,-1,9.387736,7.7256255,#ea9e7f,0.5144511,-3.4565022,#12377f,7.7194643,14.527425,#dad37f,10.914589,13.359674,#e9b67f,8.875621,12.346914,#eaba7f
536,536,audio_536.wav,0.575997531414032,0.4477725923061371,0.7016459703445435,0.2788839042186737,0.1256484389305114,-0.1688886880874633,0.9582053,0.052148044,0.3913868,0.49611896,0.07583177,0.15560094,0.8070709,0.45543864,0.42648533,0.18164119,-1,4.5219455,4.7068624,#76157f,3.2258008,1.4305061,#60eb7f,6.9586525,9.3015375,#bd377f,7.610209,9.110478,#8f097f,5.240452,8.162745,#8d0f7f
537,537,audio_537.wav,0.575997531414032,0.4477725923061371,0.746414065361023,0.2262783348560333,0.1704165339469909,-0.2214942574501037,0.75356317,0.15085584,0.06884104,0.8108965,0.83815694,0.18147515,0.7670933,0.42851672,0.75058883,0.67828035,-1,9.409548,7.2043304,#ea877f,0.26602066,-2.9587724,#0a497f,8.183429,14.178494,#ebc97f,11.1143465,12.775277,#ee9f7f,9.049836,11.757814,#efa27f
538,538,audio_538.wav,0.575997531414032,0.4477725923061371,0.7423844337463379,0.1930165439844131,0.1663869023323059,-0.2547560483217239,0.8698267,0.9441152,0.41624677,0.9352896,0.74403924,0.15322556,0.7994718,0.44334355,0.6464072,0.4067675,-1,6.913129,4.959187,#af217f,1.3196609,0.38255793,#29c57f,8.346553,11.037444,#f16b7f,9.783614,10.01063,#ca2e7f,7.4826593,8.849958,#c62b7f
539,539,audio_539.wav,0.575997531414032,0.4477725923061371,0.6223787665367126,0.2916226089000702,0.0463812351226806,-0.1561499834060669,0.43943614,0.7307507,0.5870748,0.16862547,0.9011191,0.28564006,0.67431045,0.4734471,0.1523494,0.09713331,-1,1.9241915,9.2373905,#39e37f,7.4853005,-1.7963463,#da747f,1.9834112,10.821763,#03657f,3.982989,12.927439,#2da57f,1.8419771,11.940448,#35a97f
