id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_delay_ms,p_r_delay,p_feedback,p_fb_tone_lo_hi,p_fb_mix,p_hat_l_delay_ms,p_hat_r_delay,p_hat_feedback,p_hat_fb_tone_lo_hi,p_hat_fb_mix
312,audio_312.wav,0.575997531414032,0.4477725923061371,0.5759716033935547,0.44819334149360657,-2.5928020477294922e-05,0.0004207491874694824,0.9940846,0.37787318,0.4373567,0.07986772,0.505495,0.68521976,0.37319705,0.6737946,0.34972805,0.021440402
313,audio_313.wav,0.575997531414032,0.4477725923061371,0.5769422650337219,0.44683000445365906,0.0009447336196899414,-0.0009425878524780273,0.44139653,0.32889587,0.93353266,0.54152656,0.5750882,0.8705192,0.9450232,0.92198557,0.7018134,0.17324808
314,audio_314.wav,0.575997531414032,0.4477725923061371,0.5759670734405518,0.44793301820755005,-3.045797348022461e-05,0.00016042590141296387,0.5618897,0.91885185,0.7887515,0.13951671,0.06596184,0.79848456,0.58924276,0.79389656,0.41055816,0.01586228
315,audio_315.wav,0.575997531414032,0.4477725923061371,0.5758762955665588,0.4452153742313385,-0.00012123584747314453,-0.002557218074798584,0.9881156,0.81092197,0.2866571,0.9622144,0.7739297,0.86276245,0.86960113,0.89092124,0.58157235,0.047005486
316,audio_316.wav,0.575997531414032,0.4477725923061371,0.575957715511322,0.448096364736557,-3.981590270996094e-05,0.0003237724304199219,0.28111744,0.40752447,0.016246915,0.30405205,0.36222202,0.67493546,0.36161652,0.662839,0.34874457,0.023723368
317,audio_317.wav,0.575997531414032,0.4477725923061371,0.5760402083396912,0.4449593424797058,4.267692565917969e-05,-0.0028132498264312744,0.9332229,0.016694725,0.02118349,0.6310581,0.7361761,0.867087,0.8763091,0.89392376,0.5871601,0.049358103
318,audio_318.wav,0.575997531414032,0.4477725923061371,0.5760014057159424,0.4480685293674469,3.874301910400391e-06,0.00029593706130981445,0.021183848,0.45564783,0.06304222,0.10181713,0.77918476,0.6726891,0.358386,0.6595789,0.34838566,0.024157789
319,audio_319.wav,0.575997531414032,0.4477725923061371,0.5760185122489929,0.4485030770301819,2.09808349609375e-05,0.0007304847240447998,0.0013744831,0.6729134,0.6642477,0.78141934,0.028049588,0.7042775,0.39599735,0.6940655,0.35357064,0.01858425
320,audio_320.wav,0.575997531414032,0.4477725923061371,0.5759653449058533,0.4488392472267151,-3.218650817871094e-05,0.001066654920578003,0.9065043,0.95469475,0.63211113,0.20600605,0.25769138,0.80946803,0.63735217,0.81091416,0.43161932,0.01790622
321,audio_321.wav,0.575997531414032,0.4477725923061371,0.5760086178779602,0.4482894539833069,1.1086463928222656e-05,0.0005168616771697998,0.58830565,0.7846249,0.5648929,0.0003696084,0.57237166,0.86819285,0.8767456,0.8953158,0.58656675,0.04846878
