,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
595,595,audio_595.wav,0.6104051470756531,0.4509032666683197,0.7941479086875916,0.3350954949855804,0.1837427616119384,-0.1158077716827392,0.031061172,0.8104843,0.66366905,0.2509376,0.35424405,0.87044317,-1,-4.2586894,12.857566,#07df7f,-4.164305,9.025272,#08a37f,-6.069024,10.953394,#02e57f,-5.832198,10.928233,#02bf7f,-4.2451024,10.775411,#01ac7f
596,596,audio_596.wav,0.6104051470756531,0.4509032666683197,0.8665691018104553,0.093216598033905,0.2561639547348022,-0.3576866686344147,0.50965923,0.672125,0.56105196,0.6261665,0.6510054,0.63210756,-1,9.13403,-1.2903548,#d6287f,9.537221,1.4960719,#e4417f,11.727963,-0.24057268,#ec337f,11.863325,0.6011669,#f7277f,11.186983,2.1294522,#f2387f
597,597,audio_597.wav,0.6104051470756531,0.4509032666683197,0.7940496802330017,0.3353009819984436,0.1836445331573486,-0.1156022846698761,0.046717048,0.71378726,0.86724806,0.2521892,0.35511854,0.86991096,-1,-4.346913,11.987024,#05d47f,-3.9758399,8.305545,#0b9a7f,-6.1314616,10.238044,#02d97f,-5.6930547,10.285902,#04b57f,-4.003106,10.142352,#05a37f
598,598,audio_598.wav,0.6104051470756531,0.4509032666683197,0.8690056204795837,0.0650683864951133,0.2586004734039306,-0.3858348801732063,0.73032194,0.38835436,0.92248106,0.66540855,0.64618385,0.59134257,-1,11.590717,15.008554,#fcfb7f,6.160375,15.60731,#aef87f,7.2834888,12.573675,#b1fe7f,9.310861,14.893996,#d4f97f,10.9463,16.611322,#eefa7f
599,599,audio_599.wav,0.6104051470756531,0.4509032666683197,0.8006649017333984,0.3396544754505157,0.1902597546577453,-0.1112487912178039,0.11732769,0.28779233,0.94168967,0.26797277,0.37386683,0.8669439,-1,-4.6531367,8.75559,#00aa7f,-3.3870108,5.7497063,#15787f,-5.539022,7.494076,#09ae7f,-4.673231,7.4833064,#128c7f,-3.2790856,7.5501122,#11807f
600,600,audio_600.wav,0.6104051470756531,0.4509032666683197,0.8687208890914917,0.0653180256485939,0.2583157420158386,-0.3855852410197258,0.53440744,0.9691197,0.33649802,0.6546134,0.650867,0.60183454,-1,9.309487,0.8828362,#d9447f,10.193864,3.444359,#ee5b7f,12.113224,1.7538449,#f1537f,11.87509,2.7116277,#f7467f,11.443528,4.051869,#f6517f
601,601,audio_601.wav,0.6104051470756531,0.4509032666683197,0.868713915348053,0.064367689192295,0.2583087682723999,-0.3865355774760246,0.60043365,0.89614266,0.70685434,0.65540904,0.6501927,0.6006411,-1,9.469563,4.3978066,#db717f,10.354491,6.883671,#f1877f,12.375517,5.2624846,#f48a7f,11.5007305,6.291678,#f27b7f,10.610516,7.622342,#e9817f
602,602,audio_602.wav,0.6104051470756531,0.4509032666683197,0.8687665462493896,0.0649877190589904,0.2583613991737366,-0.3859155476093292,0.9538582,0.022288024,0.36285526,0.65608805,0.6508023,0.5998269,-1,9.345548,0.5596218,#d9407f,10.265548,3.1122146,#f0567f,12.0888,1.4059271,#f04d7f,12.058707,2.4452484,#fa427f,11.485224,3.7033331,#f74d7f
603,603,audio_603.wav,0.6104051470756531,0.4509032666683197,0.8304730653762817,0.3327268660068512,0.2200679183006286,-0.1181764006614685,0.28738332,0.76089627,0.83448875,0.39822486,0.5041279,0.8044333,-1,-0.4181556,-2.2361739,#421c7f,1.2419372,-2.9130359,#5f087f,1.9131328,-1.7275507,#6b1b7f,1.9104552,-1.2664862,#6d0c7f,2.2266302,-1.4177719,#66087f
604,604,audio_604.wav,0.6104051470756531,0.4509032666683197,0.8664774894714355,0.0846861600875854,0.2560723423957824,-0.3662171065807342,0.50287235,0.81224877,0.75563735,0.62246597,0.64980125,0.63635635,-1,8.743412,-1.9224017,#d0207f,9.117495,0.91946685,#dd3a7f,11.383161,-0.732733,#e72b7f,11.511291,-0.081558995,#f21d7f,10.815529,1.3565243,#ec2d7f
605,605,audio_605.wav,0.6104051470756531,0.4509032666683197,0.8006746768951416,0.3370803892612457,0.1902695298194885,-0.1138228774070739,0.09174049,0.15865934,0.052052915,0.27083635,0.378474,0.86423767,-1,-4.2418246,10.172103,#07bc7f,-3.338118,7.1150894,#158a7f,-5.685067,8.859127,#07c37f,-5.6143594,8.8278265,#05a07f,-4.048026,8.807144,#05917f
606,606,audio_606.wav,0.6104051470756531,0.4509032666683197,0.7965781092643738,0.3351961374282837,0.1861729621887207,-0.115707129240036,0.22971123,0.74923563,0.2783211,0.25314215,0.3545575,0.87097216,-1,-2.7334719,0.9772939,#1e457f,-1.3633679,-0.5724527,#35267f,-1.1100086,1.0409117,#43477f,-0.8636423,0.60787964,#47277f,-0.18785876,0.99119776,#41287f
607,607,audio_607.wav,0.6104051470756531,0.4509032666683197,0.8006647229194641,0.3373478651046753,0.190259575843811,-0.1135554015636444,0.14598835,0.47934443,0.7294372,0.26773295,0.37399498,0.8669784,-1,-4.4744067,7.0855956,#03947f,-3.0990005,4.5260334,#19697f,-4.712277,6.271028,#149a7f,-4.053523,5.7824206,#1b737f,-2.9469423,6.1363387,#166d7f
608,608,audio_608.wav,0.6104051470756531,0.4509032666683197,0.7941374182701111,0.3345387578010559,0.183732271194458,-0.1163645088672638,0.11328596,0.8674916,0.8149124,0.25178796,0.35428363,0.87042093,-1,-4.640546,8.967607,#01ad7f,-3.4149816,5.9279566,#147b7f,-5.629473,7.638742,#08b07f,-4.7790303,7.636824,#118f7f,-3.2709277,7.7193856,#11837f
609,609,audio_609.wav,0.6104051470756531,0.4509032666683197,0.7965971827507019,0.3352335691452026,0.1861920356750488,-0.115669697523117,0.10359055,0.6087643,0.98549336,0.25452927,0.35791376,0.86976314,-1,-4.6650877,9.086679,#00ae7f,-3.4902222,6.1111245,#137d7f,-5.699927,7.777873,#07b27f,-4.834052,7.84048,#10927f,-3.302881,7.8619857,#10857f
610,610,audio_610.wav,0.6104051470756531,0.4509032666683197,0.8672536611557007,0.0798783004283905,0.2568485140800476,-0.3710249662399292,0.4686529,0.79588616,0.9894912,0.63298064,0.6516166,0.62264866,-1,8.011215,-2.84744,#c5147f,8.543223,0.0059285383,#d42e7f,10.554085,-1.5391927,#dc1e7f,10.78219,-0.74686617,#e8137f,10.171738,0.46551672,#e2217f
611,611,audio_611.wav,0.6104051470756531,0.4509032666683197,0.8651111125946045,0.089810624718666,0.2547059655189514,-0.3610926419496536,0.4884389,0.80442566,0.8164492,0.61369705,0.64692533,0.64386433,-1,8.623354,-2.0833635,#ce1e7f,9.040462,0.8104222,#dc387f,11.234793,-0.90984154,#e5287f,11.338964,-0.25116575,#f01b7f,10.713798,1.1663998,#eb2b7f
612,612,audio_612.wav,0.6104051470756531,0.4509032666683197,0.8672497868537903,0.0744036734104156,0.2568446397781372,-0.376499593257904,0.4815725,0.05272889,0.79898614,0.63430953,0.65037286,0.6245386,-1,8.3872,-2.3781898,#cb1a7f,8.826489,0.4763365,#d8347f,10.950441,-1.1779704,#e1247f,11.138843,-0.43706554,#ed187f,10.610251,1.0579239,#e9297f
613,613,audio_613.wav,0.6104051470756531,0.4509032666683197,0.8685415387153625,0.06875941157341,0.2581363916397095,-0.3821438550949096,0.5378044,0.26844198,0.1909923,0.65171313,0.65169877,0.6034301,-1,9.239875,0.47693604,#d83f7f,10.121902,3.1801639,#ed577f,12.078427,1.4526186,#f04e7f,11.915846,2.3395624,#f8417f,11.401643,3.7626226,#f64e7f
