,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive,p_muffle,p_output_db,p_hat_drive,p_hat_muffle,p_hat_output_db,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
550,550,audio_550.wav,0.6104051470756531,0.4509032666683197,0.50238037109375,0.5734418630599976,-0.108024775981903,0.1225385963916778,0.33732647,0.4351586,0.26631433,0.70170563,0.51692295,0.44497457,-1,1.3412528,11.316421,#7a567f,0.908959,15.396098,#81627f,6.482651,13.77503,#76617f,7.9447117,17.914972,#7d557f,5.1782503,16.607615,#7a6a7f
551,551,audio_551.wav,0.6104051470756531,0.4509032666683197,0.4492125213146209,0.6277666687965393,-0.1611926257610321,0.1768634021282196,0.36629158,0.92615026,0.84463197,0.7567648,0.8191781,0.54884565,-1,4.460448,14.338256,#e4e67f,3.9768503,18.019234,#e9ee7f,10.235108,14.799076,#f2aa7f,4.3812175,19.436357,#04b07f,8.659205,18.486279,#f0d27f
552,552,audio_552.wav,0.6104051470756531,0.4509032666683197,0.4548735618591308,0.6182696223258972,-0.1555315852165222,0.1673663556575775,0.8965618,0.98318684,0.53566635,0.77177554,0.78328127,0.54433954,-1,5.2495637,13.784911,#ffcb7f,4.57109,17.241251,#fec57f,10.573061,14.294192,#fe867f,4.367664,19.768246,#04c47f,9.038963,18.142725,#fdbf7f
553,553,audio_553.wav,0.6104051470756531,0.4509032666683197,0.4610842764377594,0.6209094524383545,-0.1493208706378936,0.1700061857700348,0.7911011,0.7770355,0.4579109,0.75776947,0.7445207,0.5200022,-1,3.883549,14.855487,#d0fe7f,3.4346895,17.599224,#d7d87f,9.348986,14.498999,#d5957f,5.46156,19.57698,#29b97f,7.7996945,18.83241,#d3e57f
554,554,audio_554.wav,0.6104051470756531,0.4509032666683197,0.52042555809021,0.5599521994590759,-0.0899795889854431,0.1090489327907562,0.19002241,0.49291897,0.28482032,0.6843261,0.43363085,0.4281745,-1,1.8947526,11.809964,#8d6d7f,1.2294797,15.605354,#8c6d7f,6.8661857,13.90392,#836a7f,7.650981,18.350212,#736f7f,5.5528116,16.922955,#867b7f
555,555,audio_555.wav,0.6104051470756531,0.4509032666683197,0.5317791104316711,0.5525730848312378,-0.0786260366439819,0.101669818162918,0.9053031,0.18058884,0.31259996,0.6337958,0.3799209,0.41141403,-1,-0.7751677,12.160502,#327e7f,-1.5281762,16.367266,#2d967f,4.514422,15.484358,#34db7f,10.153818,19.383093,#c8ad7f,3.0159614,17.550413,#309e7f
556,556,audio_556.wav,0.6104051470756531,0.4509032666683197,0.4919837415218353,0.5812302827835083,-0.1184214055538177,0.1303270161151886,0.05204147,0.56298465,0.35456753,0.65701365,0.5736708,0.4409037,-1,2.5419118,11.452146,#a35c7f,1.8243392,15.039536,#a04f7f,7.0844,13.211593,#8a397f,7.3614125,17.521423,#6a3d7f,6.2134686,16.21409,#9d547f
557,557,audio_557.wav,0.6104051470756531,0.4509032666683197,0.5694769024848938,0.4868559241294861,-0.0409282445907592,0.0359526574611663,0.049219787,0.19911116,0.14371294,0.2306267,0.21126933,0.44981024,-1,0.9010585,10.167353,#6b1f7f,0.14992464,13.977739,#67177f,5.237778,12.718812,#4d167f,9.110341,16.827827,#a5147f,4.377407,15.221189,#5e1d7f
558,558,audio_558.wav,0.6104051470756531,0.4509032666683197,0.4601838886737823,0.6218486428260803,-0.1502212584018707,0.1709453761577606,0.45581013,0.86847687,0.012695193,0.7640016,0.7464425,0.5253838,-1,5.090672,13.50348,#f9be7f,4.2983437,16.492666,#f49d7f,9.92969,13.662304,#e8597f,5.0706134,18.821493,#1c8b7f,8.427635,17.40782,#e9967f
559,559,audio_559.wav,0.6104051470756531,0.4509032666683197,0.4523185789585113,0.6243926286697388,-0.1580865681171417,0.173489362001419,0.336536,0.9359639,0.6755125,0.7614835,0.7976561,0.5411009,-1,4.3128877,13.530915,#dfbf7f,3.771794,16.899813,#e2b27f,9.917466,14.693547,#e8a37f,5.5078225,19.302711,#2ba87f,8.25123,18.12188,#e3be7f
